Contenu,Titre de la vidéo,Heure de publication de la vidéo,Clics sur des éléments d'écran de fin,Vues provenant de la playlist,Durée de visionnage de la playlist (heures),Commentaires ajoutés,Partages,Je n'aime pas,J'aime,"% ""J'aime"" (%)",Nombre d'abonnés perdus,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
ay1LCLjHiOw,HEP - 2.  Web scraper (1),"Feb 18, 2022",1,8,0.6483,0,0,0,2,100,0,19.15,0:02:47,46,2.1383,0,663,3.62
gUS5cdgihAs,Installer Julia : Guide complet pour débutants en programmation,"Jan 18, 2024",1,4,0.0687,1,2,0,11,100,1,35.02,0:02:44,129,5.8978,0,3026,3.07
he06JdlarzM,Les fondamentaux en python 3: les listes,"Nov 16, 2022",1,8,0.5622,1,0,0,1,100,0,20.4,0:03:10,46,2.4293,0,1679,1.73
laC0Y7WxcWY,Le shell de données moderne Nushell,"Mar 9, 2023",1,29,3.0003,1,3,0,15,100,0,25.93,0:06:19,266,28.0158,5,5447,2.44
lep7AjaEaes,Rmarkdown et Quarto en bref,"Oct 26, 2023",1,8,0.6938,4,8,0,21,100,0,38.2,0:05:38,397,37.3259,9,7832,3.18
nv4Uh4X2brk,Elixir vs un vrai ignorant,"Jan 4, 2024",1,,,2,2,0,12,100,0,6.35,0:01:32,460,11.8429,9,12808,3.11
nvvmpjCtj5M,Vous avez dit sans souris? partie 3,"Dec 21, 2023",1,3,0.1466,0,0,0,4,100,0,11.77,0:03:06,68,3.5208,0,1859,2.26
o-a7EPbZ1lM,Scala vs un vrai ignorant,"Oct 5, 2023",1,2,0.238,2,6,1,16,94.12,0,17.7,0:02:30,379,15.8062,9,7837,2.72
r4cAGYUfKA4,HEP - 1. Présentation du projet,"Feb 16, 2022",1,13,0.2427,0,1,0,4,100,0,26.04,0:00:57,73,1.1671,2,499,7.21
tKzolveZgvM,Tidyverse en bref (1) - dplyr,"Jan 4, 2023",1,70,7.2429,4,12,0,20,100,0,17.6,0:06:23,889,94.7735,16,18417,2.69
xu_rh4VyoiA,Les fondamentaux en python 2: les types de base,"Nov 2, 2022",1,18,0.7334,0,0,0,6,100,0,20.98,0:04:02,50,3.372,1,1794,1.62
zXOMI_tiiwE,Hygiène de code 7: versioning,"Sep 21, 2022",1,4,0.2394,1,0,0,3,100,0,40.92,0:02:49,29,1.3646,0,896,2.01
 -B-xSZKzJ6g,Télécharger et installer R et RStudio en bref,"Aug 18, 2022",0,,,0,1,0,5,100,0,112.75,0:01:05,41,0.7448,0,1169,2.05
 -iNMWNJkAtY,Débute Rust !,"Dec 14, 2023",0,11,0.4766,3,4,1,37,97.37,1,17.38,0:04:10,694,48.2481,17,8938,4.97
1Pk9xFBTsqM,Meilleurs packages du tidyverse,"Jun 2, 2023",0,,,0,0,0,0,,0,39.86,0:00:23,26,0.1731,0,405,0.99
3EEmUovzaI8,Analyser ses conversations WhatsApp avec R partie 2,"Aug 17, 2023",0,5,0.3826,0,0,0,6,100,0,13.99,0:03:03,93,4.7322,1,3014,2.12
3EN9I9wisd0,La programmation en bref,"Mar 8, 2024",0,,,2,2,0,14,100,0,25.74,0:05:16,97,8.5303,2,1886,2.17
3XG7ypyaVCk,R-Lunches 2023-10-03 - Measuring agreement in R - Didier Ruedin,"Mar 1, 2024",0,1,0.1249,0,0,0,1,100,0,2.58,0:01:08,32,0.6093,1,1469,1.09
3l6yZ92MfgY,Base Vim 3: Vimtutor + concepts + sources pour aller plus loins,"Jan 20, 2023",0,15,1.1374,2,0,0,9,100,0,18.17,0:04:00,74,4.9463,1,4315,1.25
5RfXVlwDjzQ,R statistiques - 6. Analyse exploratoire partie (2) - Rapports,"Apr 6, 2023",0,62,5.4915,0,3,0,10,100,0,21.6,0:04:01,284,19.0845,12,3360,5.92
7veFX6KPYPk,Organisation des dossiers pour R (2),"Jun 2, 2023",0,,,0,0,0,2,100,0,47.76,0:00:22,77,0.4801,1,969,2.27
8PQE2bwvT9c,Typst discussion - Latex killer écrit en Rust,"Feb 24, 2024",0,,,0,0,0,3,100,0,2.76,0:01:53,62,1.9479,0,1487,2.02
8VX4fYagmZo,Organisation des dossiers pour R (1),"Jun 2, 2023",0,,,0,0,0,1,100,0,50.06,0:00:30,47,0.3939,0,397,3.02
8lLTyJNYffk,"Collecter, convertir, analyser: Un guide de Web Scraping de Wikipedia avec R","Dec 21, 2022",0,6,0.0819,0,0,0,7,100,0,15.15,0:06:06,98,9.978,3,3248,1.85
9UVgt6FWbNY,Hygiène de code 8: projet avec R,"Oct 5, 2022",0,6,0.4418,0,0,0,1,100,0,19.73,0:04:12,30,2.1014,0,828,2.54
9zZ6O3Cdj58,Mojo un langage de programmation pour l'IA,"May 5, 2023",0,,,4,0,0,4,100,0,64.21,0:00:35,135,1.3485,2,2354,2.12
AT98zPbNiac,Vim en bref,"Feb 23, 2023",0,9,0.284,1,1,0,12,100,0,18.23,0:02:04,255,8.8174,3,4953,2.87
B_Q9GNNS1LM,Vim présentation,"Jun 2, 2023",0,,,0,0,0,1,100,0,64.57,0:00:38,35,0.3767,0,1322,1.89
Bm-znZUtue4,IDE instantané avec Vim,"Mar 29, 2023",0,19,1.1644,1,0,0,10,100,0,20.59,0:03:38,155,9.3902,1,7063,1.06
ByzE843aRtY,Rust en bref,"Apr 27, 2023",0,12,0.5582,6,5,7,54,88.52,2,28.56,0:04:16,1965,139.9989,46,39537,2.92
E9a5Lv0po-o,dplyr vs un vrai ignorant,"Dec 28, 2022",0,43,2.3389,2,0,0,11,100,0,19.14,0:03:12,133,7.1006,1,6292,1
EewIfeXLEAc,Programming language tier list 2023,"Feb 1, 2023",0,8,0.8105,5,4,3,8,72.73,0,6.51,0:02:25,414,16.7351,4,12576,1.92
Eqj4bl5nRd8,De Wikipedia aux Dataframes: Un guide d'Extraction de Données avec R,"Dec 7, 2022",0,25,0.7552,0,1,0,7,100,0,20.56,0:04:14,112,7.9201,2,3061,1.57
GteQtJO5Nhc,Tier list 2024,"Jan 25, 2024",0,,,4,1,0,13,100,0,14.13,0:05:15,105,9.2089,1,5360,1.18
HBlyIk0MPeQ,"Tidyverse en bref (2) - ggplot2, tidyr,  purrr, stringr, forcats","Jan 25, 2023",0,31,5.1478,4,3,0,15,100,0,17.09,0:05:25,442,39.9195,14,5291,4.59
HJxRGJHdw_c,Exécution de code avec Vim: Le tutoriel intermédiaire que vous attendiez,"Jun 8, 2023",0,6,0.5144,2,1,0,7,100,0,27.16,0:07:14,101,12.1939,0,2973,1.92
HK1y0tBXLfE,Les fondamentaux en python 5: les chaînes de caractère concept,"Nov 30, 2022",0,2,0.0283,1,0,0,4,100,0,27.94,0:02:25,35,1.41,0,1833,1.25
I0Y_ZrqjTuo,Je joue avec mes données bancaires,"Jul 3, 2022",0,,,1,3,0,2,100,0,77.93,0:00:30,40,0.3377,0,575,5.57
J2oFxFiwYwc,Hygiène de code 5: le test,"Aug 24, 2022",0,6,0.5526,1,1,0,2,100,0,12.73,0:02:41,32,1.4354,0,1115,1.88
JI2aAc5-laI,Quel est le meilleur langage de programmation ?,"Apr 13, 2023",0,5,0.2558,1,2,0,11,100,1,25.11,0:03:00,137,6.8811,2,5962,1.39
JIfNN4X6vfQ,Analyser ses conversations WhatsApp avec R partie 3,"Aug 24, 2023",0,3,0.0472,0,0,0,3,100,0,13.83,0:04:27,70,5.1956,0,4855,0.72
JUF58tDanmA,RStudio pour débutants: Découvrez la puissance des Addins,"Feb 8, 2023",0,31,1.4249,1,6,0,7,100,0,27.67,0:03:16,147,8.0321,1,3680,1.96
J__FEDy1LQY,Terminal 6:  Fin,"Jun 1, 2022",0,2,0.0186,0,0,0,0,,0,20.67,0:00:20,8,0.045,0,551,1.09
KnWcM252p9I,Comment faire des images de codes,"May 29, 2023",0,,,0,0,0,0,,0,44.69,0:00:16,45,0.2123,0,752,0.93
Ln4XRek6ynA,R-Lunches 2023-10-03 - Analysis of paired categorical data - Ben Meulman,"Mar 1, 2024",0,2,0.1017,0,1,0,4,100,0,6.52,0:02:31,43,1.8103,1,977,1.64
MJM9rq3c0kc,vim terminal intégré,"Dec 16, 2023",0,,,0,0,0,3,100,0,45.24,0:00:25,40,0.2815,0,601,2.33
N7iHe7Fo-P4,ggplot2 - Introduction à ggplot2,"Nov 23, 2023",0,8,0.2412,1,4,0,15,100,2,33.79,0:02:58,233,11.5683,5,4248,4.14
NT9EPf2wuk4,Hygiène de code 4: Structure de projet,"Aug 10, 2022",0,8,0.4685,0,1,0,2,100,0,28.25,0:04:53,35,2.8561,1,969,2.06
OS28bvSXwzM,Présentation de la chaîne,"Jul 2, 2022",0,,,0,2,0,7,100,0,53.78,0:00:31,428,3.7083,4,2387,2.35
QYXmPpQaL3M,Base R - 4. Fonctions et packages (2),"Nov 23, 2022",0,42,1.4647,1,0,0,3,100,0,21.71,0:01:58,113,3.7214,6,2573,2.91
RTZGNxeIXHs,Merci pour les +700 abonnés. Présentation de mon environnement de travail,"Dec 30, 2023",0,2,0.2196,4,3,0,21,100,1,11.7,0:01:50,716,21.9823,25,23390,2.53
SLbJmer7j4Y,Programmation fonctionnelle 1,"Nov 16, 2023",0,8,0.2054,3,1,0,11,100,1,17.34,0:02:20,313,12.1817,6,7268,3.18
